Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера:Мир программирования,471,725,35,На складе
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера:Мир программирования,296,456,35,На складе
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера:Мир цифровой обработки,251,386,35,На складе
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник,Гетманов Виктор Григорьевич,Техносфера:Мир цифровой обработки,993,1527,35,На складе
Цифровая обработка изображений,"Гонсалес Рафаэл С., Вудс Ричард Е.",Техносфера:Мир цифровой обработки,1183,1820,35,На складе
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера:Мир цифровой обработки,1456,2240,35,На складе
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера:Мир цифровой обработки,888,1366,35,На складе
Основы теории цифровой обработки сигналов. Учебное пособие,Умняшкин Сергей Владимирович,Техносфера:Мир цифровой обработки,837,1288,35,На складе
JavaScript с нуля до профи,Свекис Лоренс Ларс и др.,Питер:Библиотека программиста,2268,2908,22,На складе
Python для финансистов,Хилпиш Ив,Питер:Бестселлеры O`Reilly,2030,Нет старой цены,Нет скидки,На складе
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,2427,Нет старой цены,Нет скидки,На складе
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2389,3676,35,На складе
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2079,3198,35,Ограничено
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1484,2283,35,На складе
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1291,1986,35,Ограничено
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1072,1649,35,На складе
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,932,1434,35,На складе
,,,0,Нет старой цены,Нет скидки,
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1263,1943,35,Ограничено
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1099,1691,35,Ограничено
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань:Компьютеры и программное обеспечение,641,986,35,Ограничено
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант:Профессиональное образование,2189,Нет старой цены,Нет скидки,На складе
Java для IT-профессий. Учебник,Дирк Харди,Фолиант:Профессиональное образование,3676,Нет старой цены,Нет скидки,На складе
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,3010,Нет старой цены,Нет скидки,На складе
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3629,5583,35,На складе
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2268,2908,22,На складе
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер:Бестселлеры O`Reilly,2921,3745,22,На складе
Software. Ошибки и компромиссы при разработке ПО,"Лелек Томаш, Скит Джон",Питер:Библиотека программиста,3262,4182,22,На складе
Python для хакеров. Нетривиальные задачи и проекты,Воган Ли,Питер:Библиотека программиста,1972,2528,22,На складе
Методы линейного программирования,Божко Аркадий Николаевич и др.,Издательство МГТУ им. Н.Э.Баумана,529,814,35,Ограничено
,,,0,Нет старой цены,Нет скидки,
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,Антонопулос Андреас М. и др.,ДМК-Пресс,3629,5583,35,На складе
Паттерны проектирования API,Гивакс Джей Джей,Питер:Библиотека программиста,3290,Нет старой цены,Нет скидки,На складе
PostgreSQL 15 изнутри,Рогов Егор Валерьевич,ДМК-Пресс,3175,4885,35,На складе
Apache Kafka. Потоковая обработка и анализ данных,Шапира Гвен и др.,Питер:Бестселлеры O`Reilly,3045,Нет старой цены,Нет скидки,На складе
Python и анализ данных,МакКинни Уэс,ДМК-Пресс,3267,5026,35,На складе
Алгоритмы,Эриксон Джефф,ДМК-Пресс,3629,5583,35,На складе
Алгоритмы принятия решений,Кохендерфер Майкл и др.,ДМК-Пресс,4536,6979,35,На складе
Структура и интерпретация классической механики,"Сассман Джеральд Джей, Уиздом Джек",ДМК-Пресс,2722,4187,35,На складе
Идиомы bash,"Олбинг Карл, Фоссен Джей Пи",Питер:Бестселлеры O`Reilly,1417,1817,22,На складе
Алгоритмы биоинформатики,"Компо Филлип, Певзнер Павел",ДМК-Пресс,4355,6700,35,На складе
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация,Груздев Артем Владимирович,ДМК-Пресс,4355,6700,35,На складе
"Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества",Груздев Артем Владимирович,ДМК-Пресс,4355,6700,35,На складе
Прогнозирование. Принципы и практика,"Хайндман Роб, Атанасопулос Джордж",ДМК-Пресс,3267,5026,35,На складе
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь Максим Владимирович и др.,ИНФРА-М:Научная мысль,2097,3226,35,На складе
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода","Дэвидсон Дж. Гай, Грегори Кейт",Питер:Для профессионалов,2786,Нет старой цены,Нет скидки,На складе
Глубокое обучение с R и KERAS,Шолле Франсуа,ДМК-Пресс,3629,5583,35,На складе
